m,TagName,
"2010-12-01 00:00:00","javascript","4950"
"2010-12-01 00:00:00","perl","500"
"2010-12-01 00:00:00","php","5342"
"2010-12-01 00:00:00","python","2472"
"2010-12-01 00:00:00","r","223"
"2010-12-01 00:00:00","ruby","1021"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7974"
"2011-01-01 00:00:00","c++","3481"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6524"
"2011-01-01 00:00:00","javascript","5416"
"2011-01-01 00:00:00","perl","473"
"2011-01-01 00:00:00","php","6373"
"2011-01-01 00:00:00","python","2896"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1202"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1632"
"2011-02-01 00:00:00","c#","8200"
"2011-02-01 00:00:00","c++","3433"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6846"
"2011-02-01 00:00:00","javascript","5591"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6661"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9963"
"2011-03-01 00:00:00","c++","4164"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8447"
"2011-03-01 00:00:00","javascript","6747"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8045"
"2011-03-01 00:00:00","python","3740"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1636"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","159"
"2011-04-01 00:00:00","c","2032"
"2011-04-01 00:00:00","c#","9251"
"2011-04-01 00:00:00","c++","4157"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7878"
"2011-04-01 00:00:00","javascript","6869"
"2011-04-01 00:00:00","perl","550"
"2011-04-01 00:00:00","php","7572"
"2011-04-01 00:00:00","python","3323"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","9961"
"2011-05-01 00:00:00","c++","3861"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8519"
"2011-05-01 00:00:00","javascript","7288"
"2011-05-01 00:00:00","perl","581"
"2011-05-01 00:00:00","php","8032"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1758"
"2011-06-01 00:00:00","c#","9709"
"2011-06-01 00:00:00","c++","3795"
"2011-06-01 00:00:00","delphi","453"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7859"
"2011-06-01 00:00:00","javascript","7656"
"2011-06-01 00:00:00","perl","567"
"2011-06-01 00:00:00","php","7980"
"2011-06-01 00:00:00","python","3458"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1553"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1656"
"2011-07-01 00:00:00","c#","9554"
"2011-07-01 00:00:00","c++","3845"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8117"
"2011-07-01 00:00:00","javascript","8076"
"2011-07-01 00:00:00","perl","658"
"2011-07-01 00:00:00","php","8594"
"2011-07-01 00:00:00","python","3645"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1577"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1825"
"2011-08-01 00:00:00","c#","9997"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8624"
"2011-08-01 00:00:00","javascript","8861"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8838"
"2011-08-01 00:00:00","python","3813"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1914"
"2011-09-01 00:00:00","c#","9232"
"2011-09-01 00:00:00","c++","3925"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8274"
"2011-09-01 00:00:00","javascript","8132"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7979"
"2011-09-01 00:00:00","python","3504"
"2011-09-01 00:00:00","r","612"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","211"
"2011-10-01 00:00:00","c","2135"
"2011-10-01 00:00:00","c#","9144"
"2011-10-01 00:00:00","c++","4328"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8493"
"2011-10-01 00:00:00","javascript","7971"
"2011-10-01 00:00:00","perl","555"
"2011-10-01 00:00:00","php","7970"
"2011-10-01 00:00:00","python","3597"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1600"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2194"
"2011-11-01 00:00:00","c#","9833"
"2011-11-01 00:00:00","c++","4447"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8591"
"2011-11-01 00:00:00","perl","604"
"2011-11-01 00:00:00","php","8595"
"2011-11-01 00:00:00","python","3851"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1731"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c","1997"
"2011-12-01 00:00:00","c#","9238"
"2011-12-01 00:00:00","c++","4325"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9102"
"2011-12-01 00:00:00","javascript","8260"
"2011-12-01 00:00:00","perl","537"
"2011-12-01 00:00:00","php","8255"
"2011-12-01 00:00:00","python","3602"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","168"
"2012-01-01 00:00:00","c","2212"
"2012-01-01 00:00:00","c#","10304"
"2012-01-01 00:00:00","c++","4510"
"2012-01-01 00:00:00","delphi","509"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10045"
"2012-01-01 00:00:00","javascript","9519"
"2012-01-01 00:00:00","perl","561"
"2012-01-01 00:00:00","php","9168"
"2012-01-01 00:00:00","python","4172"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10654"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10845"
"2012-02-01 00:00:00","javascript","9885"
"2012-02-01 00:00:00","perl","612"
"2012-02-01 00:00:00","php","9791"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2703"
"2012-03-01 00:00:00","c#","11455"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12244"
"2012-03-01 00:00:00","javascript","10600"
"2012-03-01 00:00:00","perl","607"
"2012-03-01 00:00:00","php","10744"
"2012-03-01 00:00:00","python","4995"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2655"
"2012-04-01 00:00:00","c#","10971"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11885"
"2012-04-01 00:00:00","javascript","10556"
"2012-04-01 00:00:00","perl","597"
"2012-04-01 00:00:00","php","10242"
"2012-04-01 00:00:00","python","4880"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1948"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2458"
"2012-05-01 00:00:00","c#","11397"
"2012-05-01 00:00:00","c++","4935"
"2012-05-01 00:00:00","delphi","474"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12032"
"2012-05-01 00:00:00","javascript","11386"
"2012-05-01 00:00:00","perl","642"
"2012-05-01 00:00:00","php","10790"
"2012-05-01 00:00:00","python","5045"
"2012-05-01 00:00:00","r","869"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","199"
"2012-06-01 00:00:00","c","2295"
"2012-06-01 00:00:00","c#","11220"
"2012-06-01 00:00:00","c++","4603"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10991"
"2012-06-01 00:00:00","javascript","11139"
"2012-06-01 00:00:00","perl","738"
"2012-06-01 00:00:00","php","10447"
"2012-06-01 00:00:00","python","5246"
"2012-06-01 00:00:00","r","966"
"2012-06-01 00:00:00","ruby","1879"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2356"
"2012-07-01 00:00:00","c#","12235"
"2012-07-01 00:00:00","c++","5240"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12170"
"2012-07-01 00:00:00","javascript","12257"
"2012-07-01 00:00:00","perl","666"
"2012-07-01 00:00:00","php","11638"
"2012-07-01 00:00:00","python","5700"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2057"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2309"
"2012-08-01 00:00:00","c#","11903"
"2012-08-01 00:00:00","c++","5141"
"2012-08-01 00:00:00","delphi","403"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12194"
"2012-08-01 00:00:00","javascript","12381"
"2012-08-01 00:00:00","perl","760"
"2012-08-01 00:00:00","php","11807"
"2012-08-01 00:00:00","python","5848"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2053"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2521"
"2012-09-01 00:00:00","c#","11233"
"2012-09-01 00:00:00","c++","4885"
"2012-09-01 00:00:00","delphi","385"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11559"
"2012-09-01 00:00:00","javascript","11132"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10919"
"2012-09-01 00:00:00","python","5237"
"2012-09-01 00:00:00","r","1057"
"2012-09-01 00:00:00","ruby","1953"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","314"
"2012-10-01 00:00:00","c","3146"
"2012-10-01 00:00:00","c#","12667"
"2012-10-01 00:00:00","c++","5890"
"2012-10-01 00:00:00","delphi","476"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13418"
"2012-10-01 00:00:00","javascript","12362"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11699"
"2012-10-01 00:00:00","python","6117"
"2012-10-01 00:00:00","r","1264"
